1,labels
but not very happy,"[3, 4]"
well shes not gon na last the whole song like that so since im behind her and the audience cant see below my torso pretty much i use my hand to push down on the lid and support her weight,[3]
she sat at her papas recliner sofa only to move next to me and start clinging to my arms,[6]
yes the oklahoma city bombing,"[0, 2, 4, 5]"
they were dancing to bolero,[3]
still had sex with her though,[3]
but i am exhaustedmy eyes feel like they are about to pop out of my headi need some soothing music and images to help my mediate even for a few minutes just take me away   365 yoga mondays musical meditation 0 minutes ago early nightfirst day of work after mat,"[2, 4]"
we ordered some food at mcdonalds instead of buying food at the theatre because of the ridiculous prices the theatre has,[0]
now my parents live in the foothills and the college is in a large valley,[6]
we get to the porch and my dog starts growling like a big boy growl like shits going down growl,"[2, 5]"
i moved my arms stretching the muscles watching ribbons of flesh dance around skin and bone,[3]
the room was small but brightly lit and i sat on a twoseater couch facing the counselor across the room as opposed to lounging on my back while staring at the ceiling with the lights dimmedso what did i learn,[6]
the top of the mattress comes up a little above my waist,[3]
i have plenty more,[3]
it took a little longer for my feet to hurt which was nice,[3]
about 2 weeks ago i thought i pulled a muscle in my calf,"[2, 4]"
i still cannot explain this,"[2, 5]"
more funny than creepy being on this side of the story,"[2, 3, 5]"
5 year old me was scarred for life,"[2, 4]"
the waitress had physical therapy experience and prepared a nice bag of ice for my ankle and the beer was fantastic,[3]
then i decided to try and get up to go to the restroom but i couldnt move,"[2, 5]"
 the cop tells him to have a nice day and walks away,"[0, 3, 5]"
the following two days i was in a moderate amount of pain and had very limited range of motion in my arms,"[2, 4]"
he saw blood and said  mommy,"[2, 4, 5]"
not the most unnerving feeling but the most prominent event in my mind is as follows,"[2, 5]"
when the dust settled i looked over at my wife and saw she was alive and i knew i was alive so i immediately had happiness in my heart,[3]
i love you boy,[3]
i brush my teeth at least twice a day,[6]
needless to say i turned her down,[6]
i lowered my head so it fell across my face a good excuse not to look directly at cody,[2]
never saw him again,[4]
still cant get my head around the fact that this time 2 weeks ill be home,[2]
grandma leaned forward let out a sigh of relief and died,"[2, 4, 5]"
my heart immediately hurt,"[2, 4]"
apparently it wasnt as life threatening as i believed at the time because the doctor didnt want to mar my forehead with stitches so i got butterfly bandages instead,"[2, 4]"
it was a call from the company whose offer i had accepted saying that on the medical check up  i signed the contract before i went on medcheck  my lungs doesnt seem well,"[2, 4]"
its going to suck worse when im barefoot in the kitchen in two months and a piece of glass i overlooked is going to unearth itself and stick into the bottom of my foot like that one time,[2]
